Date,Type,Country,State,Location,Activity,Sex,Age,Injury,Time,Species,Extracted_date,Month,Year,Age_group
26 May 2020,Unprovoked,SPAIN,CANARY ISLANDS,"Famara Beach, Lanzarote",Unknown,M,9,Survived,,Unknown,May 2020,May,2020,Child
17 May 2020,Unprovoked,FRENCH POLYNESIA,TAHITI,Vallée Blanche,Snorkeling,Unknown,nan,Survived,,Blacktip Shark,May 2020,May,2020,Unknown
09-May-2020,Unprovoked,USA,CALIFORNIA,"Sand Dollar Beach, Santa Cruz County",Surfing,M,26,Fatal,13h30,Great White,May-2020,May,2020,Young Adult
08-May-2020,Unprovoked,AUSTRALIA,VICTORIA,"Southside Beach, near Geelong",Surfing,M,nan,Survived,16h00,Unknown,May-2020,May,2020,Unknown
01-May-2020,Unprovoked,USA,CALIFORNIA,"Summerland, Santa Barbara County",Swimming,F,57,Survived,14h30,Unknown,May-2020,May,2020,Adult
29-Apr-2020,Other,USA,CALIFORNIA,"Moonlight Beach, San Diego County",Boarding,M,16,Survived,17h45,Unknown,Apr-2020,Apr,2020,Teen
21-Apr-2020,Unprovoked,AUSTRALIA,NEW SOUTH WALES,Killick Creek near Crescent Head,Swimming,F,nan,Survived,08h00,Unknown,Apr-2020,Apr,2020,Unknown
07-Apr-2020,Unprovoked,USA,FLORIDA,"Cocoa Beach, Brevard  County",Surfing,F,nan,Survived,10h00,Bull Shark,Apr-2020,Apr,2020,Unknown
06-Apr-2020,Unprovoked,AUSTRALIA,QUEENSLAND,North West Island,Swimming,M,23,Fatal,17h30,Unknown,Apr-2020,Apr,2020,Young Adult
06-Apr-2020,Unprovoked,AUSTRALIA,NEW SOUTH WALES,Wamberal Beach,Surfing,M,38,Survived,10h00,Unknown,Apr-2020,Apr,2020,Adult
27-Mar-2020,Unprovoked,USA,CALIFORNIA,"Pleasure Point, Santa Cruz County",Paddle,M,Teen,Survived,Evening,Unknown,Mar-2020,Mar,2020,Unknown
22-Mar-2020,Unprovoked,USA,FLORIDA,"New Smyrna Beach, Volusia County",Surfing,M,nan,Survived,12h20,Unknown,Mar-2020,Mar,2020,Unknown
22-Mar-2020,Unprovoked,USA,FLORIDA,"New Smyrna Beach, Volusia County",Surfing,M,nan,Survived,10h50,Unknown,Mar-2020,Mar,2020,Unknown
21-Mar-2020,Unprovoked,AUSTRALIA,QUEENSLAND,Cairns,Unknown,F,nan,Survived,Midday,Unknown,Mar-2020,Mar,2020,Unknown
Reported 14-Mar-2020,Provoked,NEW ZEALAND,NORTH ISLAND,"Stanmore Bay, Auckland",Fishing,M,nan,Survived,,Great White,Mar-2020,Mar,2020,Unknown
02-Mar-2020,Unprovoked,FIJI,VANUA LEVU,"Tawake, Cakaudrove",Fishing,M,26,Survived,Early Morning,Unknown,Mar-2020,Mar,2020,Young Adult
22-Feb-2020,Unprovoked,NEW ZEALAND,NORTH ISLAND,Pauanui Beach,Surfing,M,60,Survived,11h30,Great White,Feb-2020,Feb,2020,Adult
17-Jan-2020,Unprovoked,AUSTRALIA,NEW SOUTH WALES,Windang Beach,Surfing,M,59,Survived,08h00,Unknown,Jan-2020,Jan,2020,Adult
13-Jan-2020,Unprovoked,USA,NORTH CAROLINA,"Rodanthe, Dare County",Surfing,M,26,Survived,14h33,Unknown,Jan-2020,Jan,2020,Young Adult
07-Jan-2020,Unprovoked,AUSTRALIA,QUEENSLAND,North West Island,Swimming,F,7,Survived,17h30,Lemon Shark,Jan-2020,Jan,2020,Child
05-Jan-2020,Unprovoked,AUSTRALIA,WESTERN AUSTRALIA,Cull Island / Esperance,Diving,M,57,Fatal,13h00,Great White,Jan-2020,Jan,2020,Adult
02-Jan-2020,Other,AUSTRALIA,WESTERN AUSTRALIA,Esperance,Swimming,M,21,Fatal,16h10,Unknown,Jan-2020,Jan,2020,Young Adult
30-Dec-2019,Unprovoked,AUSTRALIA,QUEENSLAND,North West Island,Swimming,M,30s,Survived,12h58,Unknown,Dec-2019,Dec,2019,Young Adult
